2_2_x,2_1_x,2_0_x,1_1_x,1_0_x,0_0_x
0.632503377,0.7415805,0.4345141,0.63888204,0.42402554,
0.6818502,0.574311987,0,0.5046541,0,
0.674595384,0.60962594,0,0.56719506,0,
0.653453153,0.46348435,0,0.44818467,0,
0.673188673,0.407103485,0.4847878,0.333491479,0.5582794,
0.6445572,0,0.4637641,0,0.4770328,
0.682536658,0.22917499,0,0.19735068,0,
0.635371,0.24961728,0,0.23345363,0,
0.701260586,0.7349953,0,0.62815017,0,
0.560624975,0.22917499,0.57438517,0.19735068,0.38055682,
0.6677024,0.6672066,0.47729257,0.610873621,0.34275854,
0.26816714,0.6477942,0,0.587019962,0,
0.540913985,0.5946268,0,0.54251134,0,
0.641340449,0.5666596,0,0.524298886,0,
0.6707299,0.532696626,0.497134313,0.485268801,0.371542633,
0.5808118,0.514049378,0.453204066,0.46825632,0.353391574,
0.56850468,0.6684428,0,0.59547675,0,
0.54018243,0.6533068,0,0.607900358,0,
0.593813494,0.6684428,0,0.59547675,0,
0.550629762,0.533979246,0.48966882,0.492102971,0,
0.577425824,0.5953498,0.44402745,0.5424966,0,
0.482627819,0.627012639,0,0.573518095,0,
0.52171293,0.483059599,0,0.451018575,0,
0.472033587,0.595411749,0,0.548432318,0,
0.560632555,0.6733044,0.43953666,0.6294304,0.3410018,
0.536532107,0.6297214,0.46024975,0.567241924,0.2950806,
0.620249892,0.4167938,0,0.415824685,0,
0.525691589,0.49279827,0,0.509812349,0,
0.517664699,0.616654342,0,0.556914724,0,
0.464265645,0.126870495,0.47869626,0.09780152,0.30179965,
0.515523185,0.516528227,0.51041305,0.461537798,0.19077049,
0.576357926,-0.014404011,0,0.040015176,0,
0.615901707,0.513095533,0,0.5378545,0,
0.606062727,0.54373457,0,0.714826595,0,
0.588089393,0.274582747,0.533448,0.30549672,0.6785327,
0.606345956,0.559535722,0.44375828,0.649123156,0.5575642,
0.599436375,0.656480446,0,0.78951275,0,
0.602737021,0.563420077,0,0.611608098,0,
0.579830521,0.539152201,0,0.618544723,0,
0.635079472,0.656480446,0.5953652,0.78951275,0.3410018,
0.502121979,0.511083879,0.50158477,0.5745368,0.2950806,
0.608997512,0.566095187,0,0.6459198,0,
0.235130031,0.427672159,0,0.48499307,0,
0.488998124,0.341111959,0,0.38790807,0,
0.573636865,0,0.55305,0,0.567998,
0.614258805,0.163845162,0.46699032,0.15242228,0.5196537,
0.670240997,0.209390553,0,0.17644802,0,
