"","word","ninos","author","proportion"
"303","una pelota de lana porque tiene forma de pelota y tiene tipo de pelos",0.00462962962962963,"ninas",NA
"304","una pelota de oro, porque una pelota de pelos nadie la quiere",0.00462962962962963,"ninas",NA
"305","una pelota de pelo no se puede porque se desata",0.00462962962962963,"ninas",NA
"306","una pelota de pelos porque se parecen",NA,"ninas",0.00471698113207547
"307","una pelota grande depende a que se refiera de pelos o el pelo",0.00462962962962963,"ninas",NA
"308","una pelota llena de pelos porque la llenaron de pelos",NA,"ninas",0.00471698113207547
"309","una pelota pinpojos",NA,"ninas",0.00471698113207547
"310","una pelota que le cayo pelo de la peluqueria",0.00462962962962963,"ninas",NA
"311","una pelota que se le pegaron pelos del piso *",NA,"ninas",0.00471698113207547
"312","una pelota que tiene de adorno pelos",0.00462962962962963,"ninas",NA
"313","una pelota que tiene pelitos porque tiene pelitos por todas partes",NA,"ninas",0.00471698113207547
"314","una pelota que tiene pelos",0.00462962962962963,"ninas",NA
"315","una pelota traviesa y gritona",0.00462962962962963,"ninas",NA
"316","una pelota y otra pelota porque es la pelota con doble pelota",NA,"ninas",0.00471698113207547
"317","una peluca de pelos",0.00462962962962963,"ninas",NA
"318","una persona de pelos, porque pelota es como decir persona",0.00462962962962963,"ninas",NA
"319","una persona porque suena como una persona",NA,"ninas",0.00471698113207547
"320","una persona y animal. porque seria divertido",NA,"ninas",0.00471698113207547
"321","una rebelion de cabello",NA,"ninas",0.00471698113207547
"322","un balon con picos porque parecen pelos",0.00462962962962963,"ninas",NA
"323","un balon de espinas porque tendria mucha similitud",0.00462962962962963,"ninas",NA
"324","un cabello con muchos pelos, un jamster, un conejo",NA,"ninas",0.00471698113207547
"325","un circulo porque es redondo como las pelotas",0.00462962962962963,"ninas",NA
"326","un coco porque es redondo y tiene pelos",NA,"ninas",0.00471698113207547
"327","un enrredadero de cabello porque se enreda cada vez mas",NA,"ninas",0.00471698113207547
"328","un erizo, tiene muchos pinchos",0.00462962962962963,"ninas",NA
"329","un gatito porque los gatos tienen muchos pelos",0.00462962962962963,"ninas",NA
"330","un gato",0.0138888888888889,"ninas",0.00471698113207547
"331","un gato creo",0.00462962962962963,"ninas",NA
"332","un gato o un perro",0.00462962962962963,"ninas",NA
"333","un gato porque ellos tienen muchos pelos",0.00462962962962963,"ninas",NA
"334","un gato porque es muy peludo",0.00462962962962963,"ninas",NA
"335","un gato porque sacan bolas de pelo",0.00462962962962963,"ninas",NA
"336","un gato porque tiene muchos pelos.",0.00925925925925926,"ninas",NA
"337","un gato,porque tiene pelo",NA,"ninas",0.00471698113207547
"338","un gato, porque tiene pelos",NA,"ninas",0.00471698113207547
"339","un gato, porque tiene pelos*",NA,"ninas",0.00471698113207547
"340","un gato porque tiene pelos al igual que el perro",NA,"ninas",0.00471698113207547
"341","un gato tiene pelos",0.00462962962962963,"ninas",NA
"342","un gato, un hamster, una rata y un cote, porque tienen mucho pelo",0.00462962962962963,"ninas",NA
"343","un hamster, porque perro ya se ocupa mucho",0.00462962962962963,"ninas",NA
"344","un kiwi porque los kiwis son un poco redondos y tienen pelito por afuera",NA,"ninas",0.00471698113207547
"345","un leon, porque tiene mucho pelo",NA,"ninas",0.00471698113207547
"346","un lobo porque tiene pelos",NA,"ninas",0.00471698113207547
"347","un maniqui con una peluca",NA,"ninas",0.00471698113207547
"348","un miembro familiar con mucho cabello",NA,"ninas",0.00471698113207547
"349","un monton de pelos",0.00462962962962963,"ninas",NA
"350","uno mismo por no cortarse el pelo",0.00462962962962963,"ninas",NA
"351","un oso",0.00462962962962963,"ninas",NA
"352","un oso porque esta gordo y peludo",0.00462962962962963,"ninas",NA
"353","un oso, un lobo son animales que necesitan su pelo para cubrirse.",0.00462962962962963,"ninas",NA
"354","un pajaro",NA,"ninas",0.00471698113207547
"355","un peluche",0.00462962962962963,"ninas",NA
"356","un peluche, porque algunos son redondos y tienen el pelo suave",0.00462962962962963,"ninas",NA
"357","un peluche, una almohada, el algodon, etc, porque tienen pelos pero de diferente material",0.00462962962962963,"ninas",NA
"358","un perro",0.0231481481481481,"ninas",NA
"359","un perro con pelos",NA,"ninas",0.00471698113207547
"360","un perro con pelos porque tiene mucho pelo",NA,"ninas",0.00471698113207547
"361","un perro esta cubierto de pelos",NA,"ninas",0.00471698113207547
"362","un perro gordo",0.00462962962962963,"ninas",NA
"363","un perro gordo porque la pelota de pelos podria ser un perro gordo",0.00462962962962963,"ninas",NA
